old_country,new_country
BMUDA,BARMUDA
SL,SL
NL,NL
EAf,
USA/WI,USA
ICC/WI,WI
OMAN,OMAN
BDESH,BAN
ZIM,ZIM
AUS,AUS
WI,WI
AUS/ICC,AUS
PNG,PNG
AFG,AFG
SA,SA
SA/USA,SA
ENG,ENG
Afr/SA,SA
Asia/ICC/SL,SL
ENG/IRE,IRE
Asia/ICC/INDIA,IND
NEPAL,NEP
Afr/ZIM,ZIM
PAK,PAK
ICC/SA,SA
IRE,IRE
USA,USA
Asia/INDIA,IND
Afr/KENYA,KEN
Asia/SL,SL
NL/SA,SA
Asia/BDESH,BAN
NAM,NAM
UAE,UAE
ICC/NZ,NZ
Asia/PAK,PAK
CAN,CAN
ENG/PNG,ENG
INDIA,IND
KENYA,KEN
ENG/ICC,ENG
ENG/SCOT,SCOT
NZ,NZ
HKG/NZ,NZ
Asia/ICC/PAK,PAK
AUS/SA,SA
HKG,HKG
AUS/NZ,NZ
SCOT,SCOT
CAN/WI,WI
Afr/ICC/SA,SA
